star_name,served_arpt,fixes
HUULL.HUULL2,LAX,HUULL GNZZO RYDRR KEVVI BAYST JUUSE CLIFY DAHJR GADDO
HUUTY.HUUTY1,CHD FFZ IWA,HUUTY CHEKR ROSEE CNYON BAYTA AEJAY TYLIK
HUUVR.HUUVR1,1G3 AKR CAK,HUUVR
HYDRR.HYDRR1,PHX,HYDRR GEELA
HYTHR.HYTHR3,MEM,HYTHR ROBYE ASSUR
IGN.IGN1,FRG JFK,IGN LOLLY DOORE LENDY LGA
IRNMN.IRNMN2,HHR LAX,IRNMN SYMON BAYST JUUSE CLIFY DAHJR GADDO
IRONS.IRONS7,DCA,IRONS IRONS SAMMO
IVINS.IVINS2,VNY,IVINS
JAFAR.JAFAR3,ISM MCO ORL,JAFAR
JAIKE.JAIKE4,47N CDW LDJ MMU SMQ TEB,JAIKE ILENE WACKI MAZIE REGLE SBJ
JAKIE.JAKIE6,CVG,JAKIE NAVPE OPAVE
JAKKS.JAKKS2,IND,JAKKS OPPIE ATILE
JAKTZ.JAKTZ2,CMH LCK OSU,JAKTZ
JALIT.LIINN3,AFP AKH CLT DCM EHO EQY IPJ LKR N52 UZA,JALIT LIINN CLT
JAMMN.JAMMN5,SLC,JAMMN CHHIP
JANNY.JANNY5,BUR VNY,JANNY PUCCK
JAWBN.JAWBN7,BFI SEA TCM,JAWBN DIGGN ALKIA
JAYSN.JAYSN3,LAS,JAYSN WAPID
JCKIE.JCKIE2,ONT,JCKIE GBNEY GRRAY HINOH
JESSE.JESSE3,PHX,JESSE GUMMO EAGUL DBACK HOMRR BUNTR
JESTR.JESTR1,BCT F45 FXE LNA PBI PMP,JESTR
JFUND.JFUND2,BOS,JFUND
JHAUN.JHAUN1,SUS,JHAUN ESSAR
JHAWK.JHAWK8,FLV GPH IXD LXT MCI MKC OJC STJ,JHAWK
JIIMS.JIIMS4,ILG MQS PHL PNE TTN,JIIMS
JIINN.MBELL5,JVY LOU SDF,JIINN MBELL
JINXX.JINXX1,EDF,JINXX HOBBS RUNTZ RNICH SSNOW
JJEDI.JJEDI3,ATL,JJEDI DAFII GRHAM POOBA
JJENY.FILPZ4,CLT,JJENY FILPZ
JLI.OCEAN3,LAX,JLI VISTA CYNDE OCN BIGJO SHILY DOYLE EXERT MERMA
JMONY.JMONY2,JVY LOU SDF,GDAYE LISZA JMONY
JOANZ.WIGOL3,IAD,JOANZ BBILL BETEE WIGOL
JOKRS.JOKRS3,ISM LEE MCO MLB ORL SFB,JOKRS
JONZE.JONZE5,CLT,JONZE
JOOLS.JOOLS1,AFP AKH CLT DCM EHO EQY IPJ JQF LKR N52 RUQ UZA VUJ,JOOLS CHPTR
JORDN.JORDN2,PVD,JORDN MINNK
JOSHE.JOSHE3,SJU,JOSHE
JSONN.JSONN4,MCI,JSONN SDKIS
JULLE.JULLE5,HNL,JULLE ALANA
JUNNR.JUNNR4,GMU GSP GYH SPA,JUNNR OPENS YELKS KWOOD TANCE BURGG
JVL.JVL1,ORD,JVL KRENA
KABEE.KABEE3,JQF RUQ SVH VUJ,KABEE BIFFL NASCR
KAENA.KAENA3,HNL,KAENA MAKOA
KASPR.KASPR7,MSP,KASPR FGT
KAYAK.KAYAK6,KOA,KAYAK KOA
KAYLA.KAYLA3,STL,KAYLA BGMAC
KAYOH.KAYOH8,FUL LGB SLI SNA TOA,KAYOH JOGIT SLI
KIDDZ.KIDDZ5,EFD GLS HOU LBX,KIDDZ SNIFY QTRBK
KIMMO.KIMMO3,LAX SMO,KIMMO DARTS
KKILR.KKILR3,MSP,KKILR HUGGI KRISP
KLANI.KLANI4,HNL,KLANI BAFRE SHLLS
KLUBS.KLUBS1,RNO,KLUBS EELZA LIBGE
KNEAD.BACHR4,DAL,KNEAD BREES TUFIT RVLEY BGTEX QUYNN REDDN BACHR
KNEAD.DRYYE2,DAL,KNEAD DRYYE SCOPS SWVAY
KNEAD.PAWLZ3,DFW,KNEAD TUUUU PAWLZ
KNEAD.SWVAY4,ADS CPT DAL F41 F46 FWS GKY GPM HQZ JWY LNC RBD TKI,KNEAD DRYYE SCOPS SWVAY
KNEAD.TILLA3,DFW,KNEAD TILLA BARGO STURN
KOLTS.KOLTS2,IND,KOLTS GARTE CIRGO EKEKE
KONNG.NTNDO1,HND VGT,KONNG KEEKO NTNDO
KOOOP.KOOOP1,STL,KOOOP FTZ SNYDR
KOURT.KOURT4,BOI,KOURT BOLLS EREXE
KRAKN.KRAKN1,EYW NQX,KRAKN GIGIH
